Domaine scientifique principal;Acronyme;Libellé FR;Libellé EN;IR_Id;Paysage;Wikidata;FDR2021;FDR2018
Physique nucléaire et des hautes énergies;AGATA;Advance GAmma Tracking Array;;fr-esr-fdr-ir-100;YBmEH;;Oui;Non
Sciences du système Terre et de l'environnement;AnaEE France;Analyse et Expérimentation sur les Ecosystèmes - France;;fr-esr-fdr-ir-101;d1K6K;;Oui;Non
Sciences du système Terre et de l'environnement;ANAEE-France ECOTRONS;Analyses et Expérimentations sur les Écosystèmes – France ECOTRONS;;fr-esr-fdr-ir-047;43dKM;;Non;Oui
Biologie et santé;Celphedia;Infrastructure Nationale pour la création, l’élevage, le phénotypage, la distribution et l’archivage d’organismes modèles;;fr-esr-fdr-ir-011;5X85x;;Oui;Oui
Services numériques (calcul et réseau);CINES;Centre informatique national de l'enseignement supérieur;;fr-esr-fdr-ir-103;QuDx7;Q2945791;Oui;Non
Sciences du système Terre et de l'environnement;CLIMERI-France;Infrastructure de recherche nationale de modélisation du système climatique de la Terre;;fr-esr-fdr-ir-046;rHxfr;;Oui;Oui
Information scientifique;CollEx-Persée;Collections d’excellence pour la Recherche – Persée;;fr-esr-fdr-ir-060;tC942;Q103038686;Oui;Oui
Astronomie et astrophysique;CTA;Cherenkov Telescope Array;;fr-esr-fdr-ir-004;T8XXh;Q1070229;Oui;Oui
Physique nucléaire et des hautes énergies;DUNE;Deep Underground Neutrino Experiment at the Long- Baseline Neutrino Facility;;fr-esr-fdr-ir-078;2g3w4;;Oui;Oui
Physique nucléaire et des hautes énergies;EGO-VIRGO;Observatoire Européen Gravitationnel - VIRGO;European Gravitational Observatory - VIRGO;fr-esr-fdr-ir-072;cGMzA;Q5412642;Oui;Oui
Sciences de la matière et ingénierie;EMIR;Fédération des Accélérateurs pour les Études des Matériaux sous Irradiation;;fr-esr-fdr-ir-089;M6KFX;;Non;Oui
Sciences du système Terre et de l'environnement;EMPHASIS France;European Infrastructure for multi-scale Plant Phenomics and Simulation for food security in a changing climate (France);;fr-esr-fdr-ir-033;j1t4P;;Non;Oui
SHS;E-RIHS France;European Research Infrastructure for Heritage Science – France;;fr-esr-fdr-ir-082;ibu4q;;Oui;Oui
Sciences de la matière et ingénierie;ESRF;Source Européenne de Rayonnement Synchrotron;European Synchrotron Radiation Facility;fr-esr-fdr-ir-083;TshOK;Q901751;Oui;Oui
Biologie et santé;FBI;France-BioImaging;;fr-esr-fdr-ir-016;a1WrO;Q114340024;Oui;Oui
Biologie et santé;F-CRIN;Plateforme Nationale d’Infrastructures de recherche Clinique;;fr-esr-fdr-ir-017;04FVC;;Oui;Oui
Biologie et santé;France Génomique;Infrastructure nationale de génomique et bioinformatique associée;;fr-esr-fdr-ir-019;57EKv;Q51784520;Oui;Oui
Information scientifique;HAL+;Archive ouverte de prochaine génération;;fr-esr-fdr-ir-062;2bNBY;Q3144107;Oui;Oui
SHS;HUMA-NUM;La Très Grande Infrastructure de Recherche des Humanités Numériques;;fr-esr-fdr-ir-079;K6UL3;Q24938883;Oui;Oui
Biologie et santé;IFB;Institut Français de Bioinformatique;;fr-esr-fdr-ir-024;L4rp3;Q106411948;Oui;Oui
Biologie et santé;INGESTEM;Infrastructure nationale des cellules souches pluripotentes et ingénierie tissulaire;;fr-esr-fdr-ir-025;Mk4Sk;;Oui;Oui
Astronomie et astrophysique;Instrum-ESO;Instrumentation pour les grands télescopes de l’ESO;;fr-esr-fdr-ir-008;3CEMl;;Oui;Oui
Physique nucléaire et des hautes énergies;JUNO;Jiangmen Underground Neutrino Observatory;;fr-esr-fdr-ir-075;F5AYE;;Oui;Oui
Physique nucléaire et des hautes énergies;KM3NeT;Kilometre Cube Neutrino Telescope;;fr-esr-fdr-ir-070;Gvkkq;Q12027631;Oui;Oui
Sciences de la matière et ingénierie;LNCMI - EMFL;Laboratoire National des Champs Magnétiques Intenses;;fr-esr-fdr-ir-092;jr7xq;Q13421865;Oui;Oui
Biologie et santé;NeurATRIS;Infrastructure de Recherche Translationnelle pour les Biothérapies en Neurosciences;;fr-esr-fdr-ir-027;JpCC3;;Oui;Oui
Information scientifique;OpenEdition;Communication scientifique ouverte en sciences humaines et sociales;;fr-esr-fdr-ir-063;7gYpY;Q16668108;Oui;Oui
Sciences du système Terre et de l'environnement;PNDB;Pôle National de Données de Biodiversité;;fr-esr-fdr-ir-052;9WWkG;;Oui;Oui
Sciences du système Terre et de l'environnement;RARe;Ressources Agronomiques pour la Recherche;;fr-esr-fdr-ir-053;7hvqV;;Oui;Oui
Information scientifique;Software Heritage;Software Heritage;;fr-esr-fdr-ir-119;A9Dy7;;Oui;Non
Sciences du numérique et mathématiques;TIMES;Transfert et Interfaces : Mathématiques, Entreprises et Société;;fr-esr-fdr-ir-069;QK3ck;;Non;Oui
Physique nucléaire et des hautes énergies;CERN;Organisation Européenne pour la Recherche Nucléaire;European Organization for Nuclear Research;fr-esr-fdr-ir-098;cHjsv;Q42944;Oui;Oui
Biologie et santé;CONSTANCES;Cohorte des consultants des Centres d’examens de santé;;fr-esr-fdr-ir-012;5Ue4M;Q55439728;Oui;Oui
Sciences du système Terre et de l'environnement;ECORD/IODP;Programme international de forage profond en mer;European Consortium for Ocean Drilling Research/International Ocean Discovery Program;fr-esr-fdr-ir-040;uJ3bW;;Oui;Oui
Biologie et santé;EMERG'IN;Infrastructure Nationale de Recherche pour la lutte contre les maladies infectieuses animales émergentes ou zoonotiques par l’exploration in vivo;;fr-esr-fdr-ir-015;70E9Y;;Oui;Oui
Sciences du système Terre et de l'environnement;EURO-ARGO;Réseau in-situ global d’observation des océans;European contribution to Argo program;fr-esr-fdr-ir-041;3i5pZ;;Oui;Oui
Physique nucléaire et des hautes énergies;FAIR;Facility for Antiproton and Ion Research;;fr-esr-fdr-ir-073;Xq3n5;Q5428602;Oui;Oui
Sciences du système Terre et de l'environnement;FOF;Flotte Océanographique Française;;fr-esr-fdr-ir-042;Wixxx;Q51781087;Oui;Oui
Biologie et santé;FR-EXPOSOME;France exposome;;fr-esr-fdr-ir-109;KV7hL;;Oui;Non
Physique nucléaire et des hautes énergies;GANIL-SPIRAL2;Grand Accélérateur National d’Ions Lourds - Système de production d’Ions Radioactifs en Ligne de 2e génération;;fr-esr-fdr-ir-074;HK4Fq;;Oui;Oui
Astronomie et astrophysique;HESS;High Energy Stereoscopic System;;fr-esr-fdr-ir-007;7iFfu;Q1617774;Oui;Oui
Sciences du système Terre et de l'environnement;IAGOS-France;Instruments de mesure embarqués sur avions pour l’observation globale;In-service Aircraft for Global Observing System;fr-esr-fdr-ir-049;hCKnn;;Oui;Oui
Sciences du système Terre et de l'environnement;IN AIR;Infrastructure Nationale des Aéronefs Instrumentés pour la Recherche;;fr-esr-fdr-ir-111;NuD7m;;Oui;Non
Physique nucléaire et des hautes énergies;LSST;Legacy Survey of Space and Time;;fr-esr-fdr-ir-076;trpq8;;Oui;Oui
Biologie et santé;MetaboHUB;Infrastructure française distribuée pour la métabolomique et la fluxomique dédiée à l’innovation, à la formation et au transfert de technologie;;fr-esr-fdr-ir-026;B8IHl;Q107518509;Oui;Oui
Information scientifique;Métopes;Méthodes et outils pour l’édition structurée;;fr-esr-fdr-ir-061;4KMVR;;Oui;Oui
Biologie et santé;NEUROSPIN;Infrastructure de recherche sur le cerveau exploitant des grands instruments d’imagerie;;fr-esr-fdr-ir-028;rAj2T;Q3338653;Oui;Oui
Physique nucléaire et des hautes énergies;PAO;Observatoire Pierre Auger;Pierre Auger Observatory;fr-esr-fdr-ir-077;yisC5;Q794886;Oui;Oui
Biologie et santé;PGT;Consortium Préindustriel des vecteurs de Thérapie Génique;;fr-esr-fdr-ir-029;lpqlm;;Non;Oui
Sciences du numérique et mathématiques;ROBOTEX 2.0;L’infrastructure coordonnée des plateformes de Robotique en France;;fr-esr-fdr-ir-118;gPZwa;;Oui;Non
Physique nucléaire et des hautes énergies;LSM;Laboratoire souterrain de Modane;;fr-esr-fdr-ir-120;5lgUN;Q1799469;Oui;Non
Sciences du système Terre et de l'environnement;ACTRIS-France;Aerosol, Cloud and Trace Gases Research Infrastructure – France;;fr-esr-fdr-ir-044;0Mu7H;;Oui;Oui
Sciences de la matière et ingénierie;Apollon;Infrastructure de Recherche Apollon;;fr-esr-fdr-ir-093;1cMsm;;Oui;Oui
Services numériques (calcul et réseau);CC-IN2P3;Centre de Calcul de l’IN2P3/CNRS;;fr-esr-fdr-ir-066;0bx5K;Q2945257;Oui;Oui
Astronomie et astrophysique;CDS;Centre de Données astronomiques de Strasbourg;;fr-esr-fdr-ir-006;13W96;Q1054195;Oui;Oui
Astronomie et astrophysique;CFHT;Canada-France-Hawaii Telescope;;fr-esr-fdr-ir-003;i8FPQ;Q1031946;Oui;Oui
Biologie et santé;ChemBioFrance;Plateforme de découverte de molécules bioactives pour comprendre et soigner le vivant;;fr-esr-fdr-ir-032;KgY91;;Oui;Oui
Sciences du système Terre et de l'environnement;CONCORDIA;Station de recherche antarctique franco-italienne;;fr-esr-fdr-ir-039;RfxGc;Q403127;Oui;Oui
Sciences du système Terre et de l'environnement;DATA TERRA;Pôles de données et services pour le système Terre;;fr-esr-fdr-ir-059;f8i63;;Oui;Oui
Biologie et santé;ECELLFrance;Plateforme nationale pour la médecine régénératrice basée sur les cellules souches mesenchymateuses adultes;;fr-esr-fdr-ir-013;ypbk5;;Oui;Oui
Sciences du système Terre et de l'environnement;eLTER-France RZA;Réseau des Zones Ateliers – Infrastructure des Socio-écosystèmes;;fr-esr-fdr-ir-056;N77uH;;Oui;Oui
Biologie et santé;EMBRC France;Centre National de Ressources Biologiques Marines;;fr-esr-fdr-ir-014;pwJdG;Q113551509;Oui;Oui
Sciences de la matière et ingénierie;EMIR&A;Fédération des accélérateurs pour l'IRradiation et l'Analyse des molécules et Matériaux;;fr-esr-fdr-ir-107;M6KFX;;Oui;Non
Sciences de la matière et ingénierie;ESS;European Spallation Source;;fr-esr-fdr-ir-084;MS8CG;Q839231;Oui;Oui
Sciences de la matière et ingénierie;E-XFEL;European X-ray Free Electron Laser;;fr-esr-fdr-ir-088;ip78B;Q462592;Oui;Oui
Energie;FR Solaris;Infrastructure de Recherche française sur le solaire thermique concentré;;fr-esr-fdr-ir-035;18aqZ;;Oui;Oui
Biologie et santé;IBISBA France;Industrial Biotechnology Innovation and Synthetic Biology Acceleration;;fr-esr-fdr-ir-022;bvhSD;;Oui;Oui
Biologie et santé;IDMIT;Infrastructure nationale pour la modélisation des maladies infectieuses humaines et les thérapies innovantes;;fr-esr-fdr-ir-023;3Z8Oi;;Oui;Oui
Sciences de la matière et ingénierie;ILL;Institut Max von Laue – Paul Langevin;;fr-esr-fdr-ir-085;zk4ZN;Q1536754;Oui;Oui
Sciences du système Terre et de l'environnement;In-Sylva France;In-Sylva France Infrastructure Nationale de recherche pour la gestion adaptative des forêts;;fr-esr-fdr-ir-058;xI3dB;;Oui;Oui
Information scientifique;ISTEX;Information scientifique et technique d'excellence;;fr-esr-fdr-ir-112;q9AhN;Q56320562;Oui;Non
Biologie et santé;Laboratoire P4 Jean Mérieux;Infrastructure de recherche dédiée aux maladies hautement infectieuses – Laboratoire P4 Jean Mérieux Inserm;;fr-esr-fdr-ir-021;gh14S;Q3359520;Oui;Oui
Sciences de la matière et ingénierie;METSA;Microscopie Électronique en Transmission et Sonde Atomique;;fr-esr-fdr-ir-094;xwisu;;Oui;Oui
Sciences de la matière et ingénierie;LMJ-PETAL;Laser Mégajoule - PETawatt Aquitaine Laser;;fr-esr-fdr-ir-095;wzPH8;;Non;Oui
Biologie et santé;Phenome-Emphasis France;Infrastructure  Francaise de Phenomique Végétale;;fr-esr-fdr-ir-106;j1t4P;;Oui;Non
SHS;PROGEDO;PROduction et GEstion de Données;;fr-esr-fdr-ir-080;GDjdN;;Oui;Oui
Sciences de la matière et ingénierie;REFIMEVE;Réseau fibre métrologique à vocation européenne;;fr-esr-fdr-ir-116;ykyuW;;Oui;Non
Sciences du système Terre et de l'environnement;RéGEF;Réseau Géochimique et Expérimental Français;;fr-esr-fdr-ir-117;zBI4y;;Oui;Non
Services numériques (calcul et réseau);RENATER;Groupement d’intérêt public pour le réseau national de communications électroniques pourla technologie, l’enseignement et la recherche;;fr-esr-fdr-ir-065;qQ5Pt;;Oui;Oui
Sciences du système Terre et de l'environnement;Résif-Epos;Réseau sismologique et géodésique français;European Plate Observing System;fr-esr-fdr-ir-055;4h8nG;;Oui;Oui
Sciences de la matière et ingénierie;RMN-THC;Résonance Magnétique Nucléaire à Très Hauts Champs;;fr-esr-fdr-ir-091;0xjfb;;Non;Oui
Sciences du système Terre et de l'environnement;SAFIRE;Service des Avions Français Instrumentés pour la Recherche en Environnement;;fr-esr-fdr-ir-057;vuKa8;;Non;Oui
Sciences de la matière et ingénierie;SOLEIL;Synchrotron SOLEIL;;fr-esr-fdr-ir-087;29ZHO;;Oui;Oui
Energie;WEST;W(Tungsten) Environment for Steady-state Tokamaks;;fr-esr-fdr-ir-037;Ymp4g;;Oui;Oui
Sciences du système Terre et de l'environnement;ANAEE-France Natura;Analyses et Expérimentations sur les Ecosystèmes – France Natura;;fr-esr-fdr-ir-045;cP2Bv;;Non;Oui
Biologie et santé;CAD;Collecteur Analyseur de Données;;fr-esr-fdr-ir-031;7WIRz;;Oui;Oui
Biologie et santé;CALIS;Infrastructure Nationale de Recherche Consommateur-ALIment-Santé;;fr-esr-fdr-ir-102;9XS36;;Oui;Non
Sciences du numérique et mathématiques;CONTINUUM;Continuité Collaborative du Numérique vers l'Humain;;fr-esr-fdr-ir-104;ti4aN;;Oui;Non
Energie;ECCSEL-FR;Infrastructure de Recherche sur le Captage, Stockage et Valorisation du CO2 (CSCV) et  le Stockage Souterrain d'Energie;;fr-esr-fdr-ir-034;2InHp;;Oui;Oui
Sciences du système Terre et de l'environnement;EMSO-France;European Multidisciplinary Seafloor and water column Observatory – France;;fr-esr-fdr-ir-048;a3bVl;;Oui;Oui
Astronomie et astrophysique;ESO/ALMA;Atacama Large Millimeter/Submillimiter Array;;fr-esr-fdr-ir-002;987D3;Q725364;Oui;Oui
Biologie et santé;FLI;France Life Imaging;;fr-esr-fdr-ir-018;G6518;;Oui;Oui
Services numériques (calcul et réseau);France Grilles;France Grilles;;fr-esr-fdr-ir-067;v6N8r;;Non;Oui
Biologie et santé;FRISBI;Infrastructure Française pour la Biologie Structurale Integrée;;fr-esr-fdr-ir-020;wx4ud;Q33121906;Oui;Oui
Sciences du système Terre et de l'environnement;ICOS-France;Système Intégré d’Observation du Carbone;Integrated Carbon Observation System;fr-esr-fdr-ir-043;F9sXw;;Oui;Oui
Sciences du système Terre et de l'environnement;ILICO;Infrastructure de Recherche LIttorale et COtière;;fr-esr-fdr-ir-050;QpM8R;;Oui;Oui
Sciences de la matière et ingénierie;Infranalytics;Fédération nationale des équipements analytiques à très haut champ magnétique;;fr-esr-fdr-ir-110;v5PHC;;Oui;Non
Astronomie et astrophysique;IRAM;Institut de RadioAstronomie Millimétrique;;fr-esr-fdr-ir-005;QEc6T;Q921803;Oui;Oui
Astronomie et astrophysique;LOFAR FR/NenuFAR;International Low Frequency Radio Array Telescope – LOFAR FR;;fr-esr-fdr-ir-009;8Zekr;;Oui;Oui
Astronomie et astrophysique;PARADISE;Plateforme pour les Activités de Recherche Appliquée et de Développement en Instrumentation au Sol et Embarquée;;fr-esr-fdr-ir-113;M67fb;;Oui;Non
Biologie et santé;ProFI;Infrastructure Française de Protéomique;;fr-esr-fdr-ir-030;M54Fc;;Oui;Oui
Sciences du système Terre et de l'environnement;RECOLNAT;Réseau national des collections naturalistes;;fr-esr-fdr-ir-054;mZndr;;Oui;Oui
SHS;RnMSH;Réseau national des Maisons des Sciences de l’Homme;;fr-esr-fdr-ir-081;yl2Xe;;Oui;Oui
Astronomie et astrophysique;SKAO;SKA Observatory;;fr-esr-fdr-ir-010;AW7q2;;Oui;Oui
Sciences du système Terre et de l'environnement;CEPMMT;Centre Européen pour les Prévisions Météorologiques à Moyen Terme;European Centre for Medium-Range Weather Forecasts;fr-esr-fdr-ir-038;yvSO2;Q1274195;Oui;Oui
Biologie et santé;EBRAINS-FR;European Brain ReseArch INfrastructureS-France;;fr-esr-fdr-ir-105;963rd;;Oui;Non
Sciences du système Terre et de l'environnement;eLTER-France  OZCAR;Observatoires de la Zone Critique, Applications et Recherche;;fr-esr-fdr-ir-051;FfqpT;;Oui;Oui
Biologie et santé;EMBL;Laboratoire Européen de Biologie Moléculaire;European Molecular Biology Laboratory;fr-esr-fdr-ir-099;5ZZqH;Q33534126;Oui;Oui
Astronomie et astrophysique;ESO;Observatoire européen austral;European Southern Observatory;fr-esr-fdr-ir-001;6n4FE;Q151991;Oui;Oui
Biologie et santé;France Cohortes;France Cohortes;;fr-esr-fdr-ir-108;Hu8Sk;;Oui;Non
Physique nucléaire et des hautes énergies;FT-ICR;Réseau national de spectrométrie de masse FT-ICR à très haut champ;;fr-esr-fdr-ir-90;JtmP3;;Non;Oui
Services numériques (calcul et réseau);GENCI;Grand Équipement National de Calcul Intensif;;fr-esr-fdr-ir-064;3Z1XE;Q3093180;Oui;Oui
Physique nucléaire et des hautes énergies;LHC / HL-LHC;Grand Collisionneur de Hadrons;Large Hadron Collider;fr-esr-fdr-ir-071;eX4Wa;;Oui;Oui
Biologie et santé;LiPh@SAS;Livestock Phenotyping for Sustainable Agricultural Systems;;fr-esr-fdr-ir-115;bHZNZ;;Oui;Non
Sciences de la matière et ingénierie;Orphée/LLB;ORPHEE/Laboratoire Léon Brillouin;;fr-esr-fdr-ir-086;OYPD9;;Non;Oui
Sciences de la matière et ingénierie;RENARD;REseau NAtional de Rpe interDisciplinaire;;fr-esr-fdr-ir-096;w2cau;;Non;Oui
Sciences de la matière et ingénierie;RENATECH+;Réseau NAtional des grandes centrales de TECHnologies de nanofabrication;;fr-esr-fdr-ir-097;L2D4B;;Non;Oui
Sciences du numérique et mathématiques;SILECS;Infrastructure for Large-Scale Experimental Computer Science;;fr-esr-fdr-ir-068;LvbHC;;Oui;Oui
Energie;THEOREM;Réseau de Moyens d’Essais en Hydrodynamique pour les Énergies Marines Renouvelables;;fr-esr-fdr-ir-036;nKzqb;;Oui;Oui
